人工标注,机器识别,score,0
ambulance,ambulance,no,12
ambulance,ambulance,yes,699
ambulance,bus,no,1
ambulance,no-sp-car,no,2
ambulance,no-sp-car,yes,1
ambulance,police-car,yes,1
bus,bus,no,20
bus,bus,yes,1102
bus,emergency-car,no,2
bus,no-sp-car,no,3
bus,no-sp-car,yes,1
bus,no-sp-truck,no,1
cash-truck,bus,no,1
cash-truck,cash-truck,no,8
cash-truck,cash-truck,yes,155
cash-truck,no-sp-car,no,2
cementmix-truck,cementmix-truck,no,28
cementmix-truck,cementmix-truck,yes,527
cementmix-truck,engineering-truck,no,2
cementmix-truck,no-sp-truck,no,7
cementmix-truck,no-sp-truck,yes,1
cementmix-truck,other,no,1
cementmix-truck,sweeper-truck,no,2
cementmix-truck,tank-truck,no,6
cementmix-truck,tank-truck,yes,11
cementmix-truck,watering-truck,no,1
emergency-car,emergency-car,no,55
emergency-car,emergency-car,yes,871
emergency-car,engineering-truck,no,1
emergency-car,engineering-truck,yes,1
emergency-car,no-sp-car,no,8
emergency-car,no-sp-car,yes,2
emergency-car,no-sp-truck,no,5
emergency-car,police-car,no,5
emergency-car,police-car,yes,5
emergency-car,taxi,yes,1
engineering-truck,emergency-car,no,10
engineering-truck,emergency-car,yes,14
engineering-truck,engineering-truck,no,12
engineering-truck,engineering-truck,yes,8
engineering-truck,no-sp-truck,no,3
engineering-truck,tank-truck,no,1
fire-truck,emergency-car,no,2
fire-truck,fire-truck,yes,2
fire-truck,no-sp-truck,no,1
garbage-truck,bus,no,1
garbage-truck,emergency-car,no,2
garbage-truck,garbage-truck,no,42
garbage-truck,garbage-truck,yes,582
garbage-truck,muck-truck,no,3
garbage-truck,muck-truck,yes,1
garbage-truck,no-sp-car,no,1
garbage-truck,no-sp-car,yes,1
garbage-truck,no-sp-truck,no,7
garbage-truck,tank-truck,no,2
garbage-truck,tank-truck,yes,3
garbage-truck,watering-truck,no,1
muck-truck,bus,no,46
muck-truck,bus,yes,7
muck-truck,emergency-car,no,53
muck-truck,engineering-truck,no,3
muck-truck,garbage-truck,no,9
muck-truck,muck-truck,no,90
muck-truck,muck-truck,yes,1972
muck-truck,no-sp-car,no,10
muck-truck,no-sp-truck,no,265
muck-truck,no-sp-truck,yes,57
muck-truck,sweeper-truck,no,3
muck-truck,tank-truck,no,13
muck-truck,taxi,no,16
muck-truck,watering-truck,no,3
no-sp-car,bus,no,1
no-sp-car,cash-truck,yes,3
no-sp-car,emergency-car,no,10
no-sp-car,emergency-car,yes,9
no-sp-car,engineering-truck,no,2
no-sp-car,no-sp-car,no,180
no-sp-car,no-sp-car,yes,3138
no-sp-car,no-sp-truck,yes,4
no-sp-car,police-car,no,28
no-sp-car,police-car,yes,16
no-sp-car,taxi,no,1
no-sp-car,taxi,yes,1
no-sp-truck,bus,yes,11
no-sp-truck,cash-truck,no,2
no-sp-truck,cementmix-truck,no,1
no-sp-truck,emergency-car,no,87
no-sp-truck,emergency-car,yes,11
no-sp-truck,engineering-truck,no,3
no-sp-truck,garbage-truck,no,14
no-sp-truck,garbage-truck,yes,2
no-sp-truck,muck-truck,no,21
no-sp-truck,muck-truck,yes,1
no-sp-truck,no-sp-car,no,37
no-sp-truck,no-sp-car,yes,2
no-sp-truck,no-sp-truck,no,1138
no-sp-truck,no-sp-truck,yes,1312
no-sp-truck,sweeper-truck,no,18
no-sp-truck,tank-truck,no,214
no-sp-truck,tank-truck,yes,895
police-car,ambulance,no,4
police-car,cash-truck,no,1
police-car,emergency-car,no,1
police-car,emergency-car,yes,11
police-car,no-sp-car,no,24
police-car,no-sp-car,yes,7
police-car,no-sp-truck,no,1
police-car,police-car,no,52
police-car,police-car,yes,415
police-car,tank-truck,no,1
police-car,taxi,no,7
sweeper-truck,emergency-car,no,1
sweeper-truck,garbage-truck,no,1
sweeper-truck,no-sp-truck,no,3
sweeper-truck,sweeper-truck,no,17
sweeper-truck,sweeper-truck,yes,103
sweeper-truck,watering-truck,no,1
sweeper-truck,watering-truck,yes,2
tank-truck,bus,no,34
tank-truck,bus,yes,7
tank-truck,cementmix-truck,no,108
tank-truck,cementmix-truck,yes,58
tank-truck,emergency-car,no,2
tank-truck,garbage-truck,no,5
tank-truck,muck-truck,no,5
tank-truck,muck-truck,yes,4
tank-truck,no-sp-truck,no,90
tank-truck,no-sp-truck,yes,50
tank-truck,tank-truck,no,112
tank-truck,tank-truck,yes,597
tank-truck,watering-truck,no,5
taxi,emergency-car,no,5
taxi,engineering-truck,no,1
taxi,no-sp-car,no,38
taxi,no-sp-car,yes,14
taxi,taxi,no,42
taxi,taxi,yes,934
watering-truck,emergency-car,no,1
watering-truck,engineering-truck,no,1
watering-truck,engineering-truck,yes,1
watering-truck,garbage-truck,no,5
watering-truck,garbage-truck,yes,9
watering-truck,no-sp-truck,no,3
watering-truck,sweeper-truck,no,3
watering-truck,sweeper-truck,yes,5
watering-truck,tank-truck,no,6
watering-truck,tank-truck,yes,1
watering-truck,watering-truck,no,8
watering-truck,watering-truck,yes,68
