,name,pre,recall,num,,,,,,,
0,front,0.9957,0.9484,8100,,,,,,,
1,no_direction,0.1622,0.0536,112,,,,,,,
2,rear,0.9994,0.9805,10436,,,,,,,
,,,,,,,,,,,
name,front,rear,no_direction,,,,,,,,
pre,0.9957,0.9994,0.1622,,,,,,,,
recall,0.9484,0.9805,0.0536,,,,,,,,
num,8100,10436,112,,,,,,,,
