人工标注,机器识别,score,0
ambulance,ambulance,no,17
ambulance,ambulance,yes,695
ambulance,no-sp-car,no,3
ambulance,police-car,no,1
bus,bus,no,84
bus,bus,yes,1034
bus,emergency-car,no,1
bus,no-sp-car,no,6
bus,no-sp-car,yes,1
bus,no-sp-truck,no,3
cash-truck,cash-truck,no,11
cash-truck,cash-truck,yes,152
cash-truck,no-sp-car,no,3
cementmix-truck,cementmix-truck,no,38
cementmix-truck,cementmix-truck,yes,516
cementmix-truck,emergency-car,no,1
cementmix-truck,engineering-truck,no,1
cementmix-truck,garbage-truck,no,1
cementmix-truck,no-sp-truck,no,10
cementmix-truck,no-sp-truck,yes,1
cementmix-truck,sweeper-truck,no,1
cementmix-truck,tank-truck,no,4
cementmix-truck,tank-truck,yes,12
cementmix-truck,watering-truck,no,1
emergency-car,emergency-car,no,97
emergency-car,emergency-car,yes,819
emergency-car,engineering-truck,no,5
emergency-car,engineering-truck,yes,1
emergency-car,muck-truck,no,1
emergency-car,no-sp-car,no,14
emergency-car,no-sp-car,yes,2
emergency-car,no-sp-truck,no,4
emergency-car,police-car,no,6
emergency-car,police-car,yes,4
emergency-car,taxi,no,1
engineering-truck,emergency-car,no,10
engineering-truck,emergency-car,yes,11
engineering-truck,engineering-truck,no,9
engineering-truck,engineering-truck,yes,10
engineering-truck,garbage-truck,no,1
engineering-truck,muck-truck,no,1
engineering-truck,no-sp-truck,no,5
engineering-truck,tank-truck,no,1
fire-truck,emergency-car,no,1
fire-truck,fire-truck,no,1
fire-truck,fire-truck,yes,1
fire-truck,no-sp-truck,no,1
fire-truck,tank-truck,no,1
garbage-truck,emergency-car,no,1
garbage-truck,garbage-truck,no,100
garbage-truck,garbage-truck,yes,512
garbage-truck,muck-truck,no,18
garbage-truck,muck-truck,yes,5
garbage-truck,no-sp-car,no,2
garbage-truck,no-sp-truck,no,2
garbage-truck,tank-truck,no,2
garbage-truck,tank-truck,yes,3
garbage-truck,watering-truck,no,1
muck-truck,bus,no,17
muck-truck,emergency-car,no,20
muck-truck,engineering-truck,no,2
muck-truck,garbage-truck,no,2
muck-truck,muck-truck,no,312
muck-truck,muck-truck,yes,1971
muck-truck,no-sp-car,no,11
muck-truck,no-sp-truck,no,197
muck-truck,tank-truck,no,5
muck-truck,taxi,no,9
muck-truck,taxi,yes,1
no-sp-car,bus,no,1
no-sp-car,cash-truck,no,2
no-sp-car,cash-truck,yes,3
no-sp-car,emergency-car,no,7
no-sp-car,emergency-car,yes,7
no-sp-car,engineering-truck,no,2
no-sp-car,no-sp-car,no,282
no-sp-car,no-sp-car,yes,3053
no-sp-car,no-sp-truck,no,3
no-sp-car,no-sp-truck,yes,4
no-sp-car,police-car,no,23
no-sp-car,police-car,yes,5
no-sp-car,taxi,no,1
no-sp-truck,bus,no,1
no-sp-truck,bus,yes,11
no-sp-truck,cash-truck,no,3
no-sp-truck,emergency-car,no,53
no-sp-truck,emergency-car,yes,11
no-sp-truck,engineering-truck,no,2
no-sp-truck,garbage-truck,no,15
no-sp-truck,garbage-truck,yes,2
no-sp-truck,muck-truck,no,17
no-sp-truck,no-sp-car,no,37
no-sp-truck,no-sp-truck,no,1679
no-sp-truck,no-sp-truck,yes,872
no-sp-truck,sweeper-truck,no,22
no-sp-truck,tank-truck,no,193
no-sp-truck,tank-truck,yes,851
police-car,ambulance,no,1
police-car,ambulance,yes,1
police-car,cash-truck,no,1
police-car,emergency-car,yes,11
police-car,no-sp-car,no,38
police-car,no-sp-car,yes,5
police-car,police-car,no,55
police-car,police-car,yes,408
police-car,tank-truck,no,1
police-car,taxi,no,3
sweeper-truck,garbage-truck,no,1
sweeper-truck,muck-truck,no,2
sweeper-truck,no-sp-truck,no,5
sweeper-truck,sweeper-truck,no,23
sweeper-truck,sweeper-truck,yes,95
sweeper-truck,watering-truck,no,2
tank-truck,cementmix-truck,no,3
tank-truck,emergency-car,no,1
tank-truck,muck-truck,no,5
tank-truck,muck-truck,yes,1
tank-truck,no-sp-truck,no,15
tank-truck,no-sp-truck,yes,1
tank-truck,tank-truck,no,159
tank-truck,tank-truck,yes,891
tank-truck,watering-truck,no,1
taxi,emergency-car,no,5
taxi,no-sp-car,no,48
taxi,no-sp-car,yes,11
taxi,taxi,no,91
taxi,taxi,yes,879
watering-truck,engineering-truck,yes,1
watering-truck,garbage-truck,no,4
watering-truck,garbage-truck,yes,8
watering-truck,muck-truck,no,2
watering-truck,no-sp-truck,no,5
watering-truck,sweeper-truck,no,2
watering-truck,sweeper-truck,yes,6
watering-truck,tank-truck,no,10
watering-truck,watering-truck,no,13
watering-truck,watering-truck,yes,60
