人工标注,机器识别,score,0
ambulance,ambulance,no,11
ambulance,ambulance,yes,701
ambulance,bus,no,1
ambulance,no-sp-car,no,2
ambulance,no-sp-car,yes,1
bus,bus,no,46
bus,bus,yes,1076
bus,engineering-truck,no,1
bus,no-sp-car,no,5
bus,no-sp-car,yes,1
cash-truck,cash-truck,no,7
cash-truck,cash-truck,yes,159
cementmix-truck,cementmix-truck,no,30
cementmix-truck,cementmix-truck,yes,527
cementmix-truck,engineering-truck,no,2
cementmix-truck,no-sp-truck,no,7
cementmix-truck,no-sp-truck,yes,1
cementmix-truck,sweeper-truck,no,2
cementmix-truck,tank-truck,no,4
cementmix-truck,tank-truck,yes,12
cementmix-truck,watering-truck,no,1
emergency-car,emergency-car,no,63
emergency-car,emergency-car,yes,860
emergency-car,engineering-truck,no,2
emergency-car,no-sp-car,no,10
emergency-car,no-sp-car,yes,1
emergency-car,no-sp-truck,no,3
emergency-car,police-car,no,10
emergency-car,police-car,yes,4
emergency-car,taxi,no,1
engineering-truck,emergency-car,no,9
engineering-truck,emergency-car,yes,14
engineering-truck,engineering-truck,no,12
engineering-truck,engineering-truck,yes,8
engineering-truck,no-sp-truck,no,4
engineering-truck,tank-truck,no,1
fire-truck,fire-truck,no,1
fire-truck,fire-truck,yes,2
fire-truck,no-sp-truck,no,1
fire-truck,tank-truck,no,1
garbage-truck,garbage-truck,no,40
garbage-truck,garbage-truck,yes,592
garbage-truck,muck-truck,no,4
garbage-truck,no-sp-car,no,1
garbage-truck,no-sp-truck,no,1
garbage-truck,no-sp-truck,yes,1
garbage-truck,tank-truck,no,2
garbage-truck,tank-truck,yes,3
garbage-truck,watering-truck,no,2
muck-truck,bus,no,19
muck-truck,emergency-car,no,70
muck-truck,emergency-car,yes,1
muck-truck,engineering-truck,no,3
muck-truck,fire-truck,no,1
muck-truck,garbage-truck,no,15
muck-truck,muck-truck,no,113
muck-truck,muck-truck,yes,1923
muck-truck,no-sp-car,no,11
muck-truck,no-sp-truck,no,313
muck-truck,no-sp-truck,yes,42
muck-truck,police-car,no,1
muck-truck,sweeper-truck,no,3
muck-truck,tank-truck,no,11
muck-truck,taxi,no,12
muck-truck,watering-truck,no,9
no-sp-car,ambulance,no,4
no-sp-car,bus,no,2
no-sp-car,cash-truck,no,5
no-sp-car,cash-truck,yes,3
no-sp-car,emergency-car,no,8
no-sp-car,emergency-car,yes,8
no-sp-car,engineering-truck,no,2
no-sp-car,no-sp-car,no,167
no-sp-car,no-sp-car,yes,3130
no-sp-car,no-sp-truck,yes,4
no-sp-car,police-car,no,36
no-sp-car,police-car,yes,23
no-sp-car,taxi,yes,1
no-sp-truck,bus,yes,11
no-sp-truck,cash-truck,no,5
no-sp-truck,cash-truck,yes,1
no-sp-truck,emergency-car,no,90
no-sp-truck,emergency-car,yes,10
no-sp-truck,engineering-truck,no,3
no-sp-truck,garbage-truck,no,31
no-sp-truck,garbage-truck,yes,2
no-sp-truck,muck-truck,no,6
no-sp-truck,no-sp-car,no,27
no-sp-truck,no-sp-car,yes,1
no-sp-truck,no-sp-truck,no,1185
no-sp-truck,no-sp-truck,yes,1241
no-sp-truck,sweeper-truck,no,21
no-sp-truck,tank-truck,no,171
no-sp-truck,tank-truck,yes,963
no-sp-truck,watering-truck,no,1
police-car,ambulance,no,5
police-car,cash-truck,yes,1
police-car,emergency-car,no,3
police-car,emergency-car,yes,9
police-car,no-sp-car,no,30
police-car,no-sp-car,yes,5
police-car,police-car,no,58
police-car,police-car,yes,408
police-car,tank-truck,no,1
police-car,taxi,no,4
sweeper-truck,bus,no,1
sweeper-truck,garbage-truck,no,1
sweeper-truck,no-sp-truck,no,1
sweeper-truck,sweeper-truck,no,17
sweeper-truck,sweeper-truck,yes,105
sweeper-truck,watering-truck,no,1
sweeper-truck,watering-truck,yes,2
tank-truck,bus,no,31
tank-truck,bus,yes,6
tank-truck,cementmix-truck,no,148
tank-truck,cementmix-truck,yes,60
tank-truck,emergency-car,no,2
tank-truck,garbage-truck,no,3
tank-truck,muck-truck,no,3
tank-truck,muck-truck,yes,1
tank-truck,no-sp-car,no,1
tank-truck,no-sp-truck,no,74
tank-truck,no-sp-truck,yes,50
tank-truck,tank-truck,no,99
tank-truck,tank-truck,yes,589
tank-truck,watering-truck,no,9
tank-truck,watering-truck,yes,1
taxi,emergency-car,no,3
taxi,engineering-truck,no,2
taxi,no-sp-car,no,38
taxi,no-sp-car,yes,17
taxi,police-car,no,1
taxi,taxi,no,59
taxi,taxi,yes,914
watering-truck,emergency-car,no,2
watering-truck,engineering-truck,yes,1
watering-truck,garbage-truck,no,7
watering-truck,garbage-truck,yes,8
watering-truck,no-sp-truck,no,3
watering-truck,sweeper-truck,no,1
watering-truck,sweeper-truck,yes,7
watering-truck,tank-truck,no,3
watering-truck,tank-truck,yes,4
watering-truck,watering-truck,no,6
watering-truck,watering-truck,yes,69
