,3,0,6,2,4,5,1,7
,,,,light-bus,,,,
,,,,0.967,,,,
,,,,0.9144,,,,
,,,,1729,,,,
,,,,,,,,
name,car,pick-up,light-bus,bus,light-truck,mid-truck,heavy-truck,van-truck
pre,0.9936,0.9945,0.967,0.9951,0.9946,0.8656,0.9855,0.9141
recall,0.968,0.9607,0.9144,0.9603,0.9893,0.4701,0.8489,0.7075
num,2876,1707,1729,1686,1118,1808,5508,1986
