v4,白天,晚上,总数
军车,1,0,1
单层白牌-警车,262,25,287
单层绿牌-大型客车,753,52,805
单层绿牌-新能源汽车,1911,481,2392
单层蓝牌,28321,2488,30809
单层黄牌,5885,239,6124
双层白牌-特殊机动车（武警、法院）,31,2,33
双层白牌-骑警,363,9,372
双层蓝牌-摩托车,562,2,564
双层黄牌-摩托车,1158,59,1217
双层黄牌-机动车,14971,431,15402
,54218,3788,58006
